"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","digital_spend",1,22,0.00657705775125368,0.0031492756240977,"[0, 0.04]",0,0.037473978019193,0.014431793931707,0.000670076423056637
"2","digital_spend",2,16,0.0027331853687566,0.000208224380247342,"[0, 0]",0.00096427497813102,0.00451483306335232,0.000806449556972315,5.21561333249084e-05
"3","digital_spend",3,18,0.0508150490290302,0.00812552897570542,"[0, 0.12]",0,0.123605907500809,0.0335024142308503,0.00192536096931828
"4","digital_spend",4,12,0.0441811953165558,0.00926275807725186,"[0, 0.11]",0,0.114201762858737,0.0307210930660782,0.00177418130293832
"5","digital_spend",5,10,0.00995441266699409,0.00377623136845988,"[0, 0.04]",0,0.0368732443496774,0.0113286941053796,0.000601319520812492
"6","digital_spend",6,20,0.00662086970822957,0.00306055301485279,"[0, 0.04]",0,0.035117622842473,0.013340641303092,0.000624231368168253
"7","radio_spend",1,22,0.0690303370990145,0.0231406382814058,"[0, 0.3]",0,0.296139688085649,0.106043726554135,0.00513360748680727
"8","radio_spend",2,16,0.0230553448871028,0.00415777628422685,"[0, 0.06]",0,0.0585149136002389,0.0161029983060668,0.000916372830428004
"9","radio_spend",3,18,0.295127535108944,0.0412692979900808,"[0, 0.66]",0,0.664576723952386,0.170157674708194,0.010150424983523
"10","radio_spend",4,12,0.28877678723696,0.0453465134429832,"[0, 0.63]",0,0.631389472745347,0.150397370641182,0.00941600216189608
"11","radio_spend",5,10,0.119550795937542,0.0261048137435829,"[0, 0.31]",0,0.305144847472775,0.0783144412307486,0.00466438111044719
"12","radio_spend",6,20,0.0466469178482819,0.0159990584968595,"[0, 0.2]",0,0.195585760547765,0.0697382791796064,0.00338446786774725
"13","search_spend",1,22,0.0276953823041613,0.00314104786983297,"[0, 0.06]",0,0.0584575172289423,0.0143940896249894,0.000881269661403242
"14","search_spend",2,16,0.0148662206363688,0.00158129619903916,"[0, 0.03]",0.00135948000825361,0.028323104526953,0.00612433384429976,0.000396083759669685
"15","search_spend",3,18,0.0103650410148119,0.00388652155696508,"[0, 0.05]",0,0.0450798972200484,0.016024538895607,0.000779080555669317
"16","search_spend",4,12,0.0264549689295661,0.00939900204997095,"[0, 0.1]",0,0.0986827209497373,0.0311729632035349,0.0016265519935031
"17","search_spend",5,10,0.0518879880286868,0.0114957706842859,"[0, 0.13]",0,0.133870071395351,0.0344873120528577,0.00204893631819259
"18","search_spend",6,20,0.0160795621817136,0.00133500498856708,"[0, 0.03]",0.00364093615643567,0.0286329988481098,0.00581915183428658,0.000370003700608559
"19","social_spend",1,22,0.0202288358106068,0.00304560273696287,"[0, 0.05]",0,0.0501055109870661,0.0139567050788971,0.000788069910554143
"20","social_spend",2,16,0.0100731875782627,0.00133020989005208,"[0, 0.02]",0,0.0214394167257744,0.0051518807511321,0.000320638163919582
"21","social_spend",3,18,0.0313492365752347,0.00458554264560494,"[0, 0.07]",0,0.0722301355828593,0.0189066766786034,0.001111550393334
"22","social_spend",4,12,0.0409749865956011,0.00432378931751997,"[0.01, 0.07]",0.00826115010713432,0.0741940621092837,0.0143403868387606,0.000955693794744148
"23","social_spend",5,10,0.0244327831645135,0.00455622110563525,"[0, 0.06]",0,0.0567473121215081,0.0136686633169057,0.000849339785407269
"24","social_spend",6,20,0.0120385028540208,0.00101053634069631,"[0, 0.02]",0.00258319384103399,0.0215010164673036,0.00440482578787059,0.000280075496990008
"25","tv_spend",1,22,0.0208488834075249,0.006573445871475,"[0, 0.09]",0,0.0853621898106206,0.0301233132827292,0.0014707961250109
"26","tv_spend",2,16,0.00829715256087065,0.000830405041565328,"[0, 0.02]",0.00120125719954623,0.0153609887873459,0.00321614489658919,0.000208000215969476
"27","tv_spend",3,18,0.0882915590314787,0.0170088100607047,"[0, 0.24]",0,0.240349531114091,0.0701291204463537,0.00384452294956362
"28","tv_spend",4,12,0.0148392907985337,0.00151956943466463,"[0, 0.03]",0.00312434154076875,0.0262960620986903,0.00503984165767506,0.000335872766396683
"29","tv_spend",5,10,0.0283757413574654,0.00607683625979064,"[0, 0.07]",0,0.0714600805265012,0.0182305087793719,0.00109011210187116
"30","tv_spend",6,20,0.0116911821219686,0.00318332341253369,"[0, 0.04]",0,0.0413085070840145,0.0138757850598414,0.000697576537411083
