"","ds","tv_spend","digital_spend","social_spend","search_spend","radio_spend","nps_score","type","solID","cluster","top_sol"
"1",2022-01-02,17814.09,7628.19,2937.19,2592.92,979.01,27.1,"adstockedMedia","1_42_4",6,FALSE
"2",2022-01-09,17907.2431260331,12667.0117767789,3804.13010764935,5632.45835574662,1215.85525934679,51.347499157766,"adstockedMedia","1_42_4",6,FALSE
"3",2022-01-16,17212.3292476917,12840.6687679797,3313.562071066,2917.3645129736,1182.97877868828,38.9742236323499,"adstockedMedia","1_42_4",6,FALSE
"4",2022-01-23,16991.217267661,22284.8357601952,4822.74414933365,4385.61117158411,2044.32888807397,42.1828012433273,"adstockedMedia","1_42_4",6,FALSE
"5",2022-01-30,36240.0043129722,19876.9922992842,2472.30221546967,7531.24896050906,1525.45846781127,52.1436181277214,"adstockedMedia","1_42_4",6,FALSE
"6",2022-02-06,32169.5859339929,11988.3914850327,3496.65436634155,5632.64208362626,3510.8592742802,62.5637502703728,"adstockedMedia","1_42_4",6,FALSE
"7",2022-02-13,20097.172238159,8337.85737935355,5098.95720120014,3503.47940959864,3693.41572486152,68.535534179175,"adstockedMedia","1_42_4",6,FALSE
"8",2022-02-20,24670.162551555,13748.2911903478,4845.94968820048,4145.92701622188,3504.63839814715,31.3070842320324,"adstockedMedia","1_42_4",6,FALSE
"9",2022-02-27,23262.0944682104,12138.9950929597,4221.18764602761,2516.42859180538,4517.31140892872,48.720601949418,"adstockedMedia","1_42_4",6,FALSE
"10",2022-03-06,10423.9735388114,16610.1208158386,4141.99648925655,3286.38654871478,2587.83077311872,64.9788189448968,"adstockedMedia","1_42_4",6,FALSE
"11",2022-03-13,9974.05418133854,16813.316549467,5522.58043443535,3013.5671644881,1687.14578323709,29.1071179338451,"adstockedMedia","1_42_4",6,FALSE
"12",2022-03-20,19242.5883741254,13988.882761486,13531.0528533396,3948.81971248436,2751.29086888889,49.0732072837044,"adstockedMedia","1_42_4",6,FALSE
"13",2022-03-27,35363.5982192183,9802.60347790573,4106.69846400631,2749.17250658107,2064.11606439278,47.5184707699618,"adstockedMedia","1_42_4",6,FALSE
"14",2022-04-03,22831.8443017962,6333.64487976929,13511.4708608808,4016.09096697303,1762.48223697875,52.3436346734239,"adstockedMedia","1_42_4",6,FALSE
"15",2022-04-10,16632.8095925556,11483.7917983922,4036.15253519719,2751.56123267294,1184.42134230008,38.5862428996926,"adstockedMedia","1_42_4",6,FALSE
"16",2022-04-17,19554.8720593073,7648.0801037164,1019.35055950053,5267.18468752695,1052.05527416013,29.1391713187516,"adstockedMedia","1_42_4",6,FALSE
"17",2022-04-24,15231.3064927013,7288.3524426504,2331.6801287832,3207.4244891183,3295.69085714023,22.276811810033,"adstockedMedia","1_42_4",6,FALSE
"18",2022-05-01,15939.681150473,11525.4471927407,4707.40667112485,1049.61161724102,3604.17918942576,56.2051131080733,"adstockedMedia","1_42_4",6,FALSE
