"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","spend_share","spend_share_refresh","mean_spend","total_spend","mean_exposure","mean_exposure_refresh","effect_share","effect_share_refresh","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","mean_response","mean_spend_adstocked","mean_carryover","roi_mean","roi_total","cpa_mean","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",74599.9369626509,7758393.44411569,0.985476398989401,74599.9369626509,0.9762519222443,7758393.44411569,0.985476398989401,74599.9369626509,0.9762519222443,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.73465859036,-0.112516869089363,-0.149361396861339,-0.417034207676386,0.212759865452418,0.265066321066394,0.269709935643209,0.265066321066394,0.258759246714277,0,95561.5803013741,0.4201839428,227396.58932533,1e-04,"1_2_1",1,2,1,5,9,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"2","trend",0,0,0,0,0,0,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.73465859036,-0.112516869089363,-0.149361396861339,-0.417034207676386,0.212759865452418,0.265066321066394,0.269709935643209,0.265066321066394,0.258759246714277,0,95561.5803013741,0.4201839428,227396.58932533,1e-04,"1_2_1",1,2,1,5,9,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"3","season",0.0393706361238091,44.188276264089,5.61282483080448e-06,0.424887271770086,5.56028641164073e-06,44.188276264089,5.61282483080448e-06,0.424887271770086,5.56028641164073e-06,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.73465859036,-0.112516869089363,-0.149361396861339,-0.417034207676386,0.212759865452418,0.265066321066394,0.269709935643209,0.265066321066394,0.258759246714277,0,95561.5803013741,0.4201839428,227396.58932533,1e-04,"1_2_1",1,2,1,5,9,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"4","weekday",0,0,0,0,0,0,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.73465859036,-0.112516869089363,-0.149361396861339,-0.417034207676386,0.212759865452418,0.265066321066394,0.269709935643209,0.265066321066394,0.258759246714277,0,95561.5803013741,0.4201839428,227396.58932533,1e-04,"1_2_1",1,2,1,5,9,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"5","holiday",0.0242201637075226,-47.1516793112123,-5.98923829638455e-06,-1.96465330463385,-2.57104314465128e-05,-47.1516793112123,-5.98923829638455e-06,-1.96465330463385,-2.57104314465128e-05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.73465859036,-0.112516869089363,-0.149361396861339,-0.417034207676386,0.212759865452418,0.265066321066394,0.269709935643209,0.265066321066394,0.258759246714277,0,95561.5803013741,0.4201839428,227396.58932533,1e-04,"1_2_1",1,2,1,5,9,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"6","bounce_rate",-1580.14276691843,-74545.6052435274,-0.00946883335384266,0,0,-74545.6052435274,-0.00946883335384266,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.73465859036,-0.112516869089363,-0.149361396861339,-0.417034207676386,0.212759865452418,0.265066321066394,0.269709935643209,0.265066321066394,0.258759246714277,0,95561.5803013741,0.4201839428,227396.58932533,1e-04,"1_2_1",1,2,1,5,9,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"7","session_duration",2.28356425873022,43337.436830897,0.00550475062874449,416.706123374009,0.0054532238299145,43337.436830897,0.00550475062874449,416.706123374009,0.0054532238299145,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.73465859036,-0.112516869089363,-0.149361396861339,-0.417034207676386,0.212759865452418,0.265066321066394,0.269709935643209,0.265066321066394,0.258759246714277,0,95561.5803013741,0.4201839428,227396.58932533,1e-04,"1_2_1",1,2,1,5,9,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"8","pages_per_session",111.776956222254,41224.4592243296,0.0052363587795989,396.389031003169,0.00518734424222291,41224.4592243296,0.0052363587795989,396.389031003169,0.00518734424222291,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.73465859036,-0.112516869089363,-0.149361396861339,-0.417034207676386,0.212759865452418,0.265066321066394,0.269709935643209,0.265066321066394,0.258759246714277,0,95561.5803013741,0.4201839428,227396.58932533,1e-04,"1_2_1",1,2,1,5,9,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"9","conversion_rate",5512.12372142628,17982.201216409,0.00228411139861564,172.905780927009,0.00226273114790507,17982.201216409,0.00228411139861564,172.905780927009,0.00226273114790507,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.73465859036,-0.112516869089363,-0.149361396861339,-0.417034207676386,0.212759865452418,0.265066321066394,0.269709935643209,0.265066321066394,0.258759246714277,0,95561.5803013741,0.4201839428,227396.58932533,1e-04,"1_2_1",1,2,1,5,9,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"10","tv_spend",320.712826212606,14547.7328922413,0.00184786290194898,139.882047040781,0.00183056612205182,14547.7328922413,0.00184786290194898,139.882047040781,0.00183056612205182,TRUE,0.454681081787487,0.454681081787487,14622.0533653846,1520693.55,NA,NA,0.437636494544998,0.437636494544998,0.73465859036,-0.112516869089363,-0.149361396861339,-0.417034207676386,0.212759865452418,0.265066321066394,0.269709935643209,0.265066321066394,0.258759246714277,0,95561.5803013741,0.4201839428,227396.58932533,1e-04,"1_2_1",1,2,1,5,9,139.882047040781,33266.1641588104,18644.1107934258,0.00956651186706306,0.00956651186706307,104.531308160808,104.531308160808,5,FALSE,0.00945085208634296,0.00107263862262038,0.00130574073922274,0.0176622703297766,0.543803079212309
