"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","digital_spend_thetas","nps_score_thetas","radio_spend_thetas","search_spend_thetas","social_spend_thetas","tv_spend_thetas","digital_spend_alphas","nps_score_alphas","radio_spend_alphas","search_spend_alphas","social_spend_alphas","tv_spend_alphas","digital_spend_gammas","nps_score_gammas","radio_spend_gammas","search_spend_gammas","social_spend_gammas","tv_spend_gammas","cluster","n","top_sol"
"1","1_2_1",0,0.258759246714277,0.265066321066394,0.269709935643209,0.212759865452418,0.265066321066394,0.0518112818978162,0.903239302820468,0.727297672845814,0.684213111418425,0.340428886027592,0.61759668114483,0.249901937602366,0.516948377329111,0.369330338298752,0.42228597323541,0.398745697263177,0.430529306349566,0.46793391599902,0.298278960201003,0.180242530701143,0.231014653777305,0.678415871188797,0.211796677886243,5,12,FALSE
"2","1_4_2",0,0.23413995753183,0.247116681211624,0.265076381596857,0.216922072131442,0.247116681211624,0.670303347942961,0.772930578321124,0.380424642626899,0.364833858760864,0.707677411437232,0.646507978110091,0.0745219427745998,0.482344797373761,0.949177469332047,0.500216747045497,0.88429903893573,0.335856620398597,0.267619853682342,0.381722099041239,0.647690090529714,0.407984977596042,0.660853885196711,0.301974336011802,3,18,FALSE
"3","1_4_3",0,0.266201052968116,0.248051263684998,0.256610386009867,0.213163122325882,0.248051263684998,0.372232826232792,0.956906899337152,0.554712260969181,0.572319374592516,0.555872111505682,0.416077458352022,0.426698156990337,0.517290600474016,0.614626208030413,1,0.327326395292356,0.194203109689463,0.364109393094479,0.88722942976244,0.378165937361714,0.51461770167195,0.444322576023795,0,5,12,FALSE
"4","1_10_3",0,0.240787267798891,0.256926396669988,0.266411800029929,0.217051472900916,0.256926396669988,0.0911015720132671,0.672731411859629,0.410196237876277,0.401681265844959,0.255784673616587,0.575146460205858,0.548313125197987,0.370942896267597,0,0.521683752389556,0.662124240704237,0.249727155906983,0.338060912533928,0.187288284323341,0.541544257881316,0.8321382543716,0.607588128103658,0.202063879353837,4,8,FALSE
"5","1_12_4",0,0.461816987588977,0.171345458439162,0.192737982887997,0.0895407058935368,0.171345458439162,1,0.224486671466453,0.567508329512082,0.551904649712979,0.0318206059225712,0,0.512892984138076,0.589358485986142,0.903052542190387,0.313519923166316,0.873608246781237,0.841722044258138,0.32692309164291,0.787161702077638,0.780440642737261,0.701808767576373,0,1,6,32,FALSE
"6","1_15_4",0,0.430372648304823,0.199668824815464,0.231224313206299,0.175160458383232,0.199668824815464,0.597734728989019,0.350128399422617,0.538846232812542,0.43080782839416,0.677474944988115,0.0761597535116356,0.671083293387656,0.574659955033452,0.819644900888988,0.222318554281814,0.854101814181523,0.728314259904501,0.272791042337366,0.643664339283766,0.754480215112537,0.736882212303818,0.492229140904051,0.833235437921537,6,32,FALSE
"7","1_16_4",0,0.261632720676835,0.250866245185436,0.258779534943625,0.216209054797251,0.250866245185436,0.0201771731356993,0.706082239368548,0.460072112676216,0.265575140855955,0.30156006496516,0.742694944452729,0.0350422241861905,0.286710628468343,0.724425343556692,0.471824769517057,0.844244745155867,0.616215739743144,0.0921611531275947,0.430498228315298,0,0.299117675112746,0.465759375044602,0.678780643732211,5,12,FALSE
"8","1_18_4",0,0.470110357440455,0.230762654465995,0.258542025853341,0.208849823431891,0.230762654465995,0.551167212732414,0.83612077546805,0.373868350801663,0.448014073254155,0.177286653743166,0.266973236312784,0.116109399867173,0.517741448500483,0.843262273930023,0.538385585652768,0,0.251171391617487,0.227303672903275,0.490922313088696,0.666987964034227,0.102956227513225,0.245953250201552,0.785302278374785,5,12,FALSE
"9","1_20_4",0,0.277096265835804,0.227138072001881,0.255020525701308,0.205323212805268,0.227138072001881,0.711399469823575,0.652697367853946,0.449059121107624,0.427302368519782,0.638503268232109,0.633110123919057,0.852155115760842,0.523926798776317,0.896373945245553,0.4438191492241,0.897751046752163,0.322793160818329,0.285792006724189,0.503200719817579,0.684166471753187,0.5005173760729,0.665913486179429,0.41802597794623,2,22,FALSE
"10","1_21_2",0,0.652926638458474,0.180321405643206,0.192517561087017,0.0901961567945199,0.180321405643206,0.242765609123281,0.604262465105848,0.513515255775179,0.53283091835193,0.598564828508448,0.227225769029307,0.797441915281821,0.720619274667915,0.0619382014470891,0.885477473245266,0.801494070794118,0.772200640302378,0.614309416589219,0.209315308100953,0.324498749439152,0.770722567306638,0.467471704403273,0.850867944895039,4,8,FALSE
"11","1_24_1",0,0.255206149448221,0.270309953054118,0.276850492962809,0.189628930265278,0.270309953054118,0.559933436197171,0.426858298650193,0.159513175151276,0.292093158401134,0.396234694305288,0.526917696553253,0.862244572854493,0.293759997736487,0.878212605018005,0.57349755446274,0.76078884103642,0.432569655831232,0.684175240552758,0.648386404229686,0.504020945593173,0.282970207752592,0.665436952359812,0.152454994773385,1,6,FALSE
"12","1_26_1",0,0.290455753359669,0.239841767590365,0.244448588511984,0.198922564261494,0.239841767590365,0.571858318735707,0.408372176526818,0.473209839999208,0.434336333472928,0.670538566635772,0.904167165203403,0.6485540561455,0.691126410625981,0.633456747218725,0.320229855504961,0.799517085812991,0.317373476747501,0.23487304687331,0.64110706777078,0.562586742441747,0.602667757190896,0.470759994632986,0.333248978183517,3,18,FALSE
"13","1_26_2",0,0.487430649293519,0.236442917821096,0.263540660677203,0.215075165884639,0.236442917821096,0.646476120875836,0.78556861769305,0.373868350801663,0.448014073254155,0.177286653743166,0.266973236312784,0.0828394342705914,0.489424127599106,0.927994430099031,0.538385585652768,0,0.251171391617487,0.259556617500546,0.403562141893464,0.666987964034227,0.102956227513225,0.245953250201552,0.785302278374785,5,12,FALSE
"14","1_27_1",0,0.270442026329315,0.248161816116058,0.256546380214335,0.213141295938641,0.248161816116058,0.372232826232792,0.956906899337152,0.554712260969181,0.572319374592516,0.555872111505682,0.416077458352022,0.767063724058393,0.517290600474016,0.614626208030413,1,0.327326395292356,0.194203109689463,0.364109393094479,0.88722942976244,0.378165937361714,0.51461770167195,0.444322576023795,0,5,12,FALSE
"15","1_28_2",0,0.346942135567902,0.238516892764511,0.265083769134245,0.217353822042963,0.238516892764511,0.769454365086791,0.990939110972751,0.322321849008141,0.374523192813145,0.662665241391402,0.633110123919057,0.3749060353737,0.450074672648565,1,0.666137703505914,0.921908826593897,0.00882704917061475,0.281655055826151,0.293646927666291,0.598734372086929,0.237399588376718,0.800813281656049,0.41802597794623,2,22,FALSE
"16","1_29_4",0,0.243453030416469,0.261089766233244,0.270511855800187,0.216784482247827,0.261089766233244,0.36634662105514,1,0.348364517435711,0.771000073729158,0.0451618265929285,0.40619928522442,0.438913587043509,0.477641465592359,0.914418575185107,0.630816560736144,1,0.161151869567761,0.352628173237465,0.118877173979037,0.396007397998874,0.231135530053705,0.394225557580116,0.312428034728838,5,12,FALSE
