,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
adstock_alpha[tv_spend],0.331,0.237,0.0,0.756,0.005,0.004,1664.645,1133.395,1.001
adstock_alpha[digital_spend],0.268,0.193,0.0,0.616,0.004,0.003,1911.396,915.251,1.003
adstock_alpha[social_spend],0.422,0.21,0.024,0.767,0.005,0.004,1455.669,1124.597,1.001
adstock_alpha[search_spend],0.567,0.247,0.09,0.916,0.007,0.005,1233.811,866.295,1.0
adstock_alpha[radio_spend],0.307,0.21,0.0,0.676,0.004,0.003,2920.248,1088.144,1.0
gamma_control[bounce_rate],-0.304,0.055,-0.413,-0.203,0.001,0.001,2184.209,1572.564,1.0
gamma_control[session_duration],0.0,0.0,0.0,0.001,0.0,0.0,2440.026,1349.841,1.001
gamma_control[pages_per_session],0.032,0.005,0.022,0.042,0.0,0.0,3056.213,1420.742,1.002
gamma_control[nps_score],0.001,0.0,0.001,0.002,0.0,0.0,2774.916,1321.958,1.0
gamma_control[conversion_rate],1.001,0.458,0.139,1.865,0.009,0.007,2817.533,1343.844,1.0
intercept,0.645,0.052,0.548,0.74,0.001,0.001,1543.733,1356.989,1.002
saturation_beta[tv_spend],0.088,0.121,0.0,0.269,0.003,0.002,1087.118,926.848,1.001
saturation_beta[digital_spend],0.054,0.089,0.0,0.163,0.002,0.002,1198.437,924.643,0.999
saturation_beta[social_spend],0.073,0.087,0.0,0.173,0.003,0.002,943.015,959.089,1.0
saturation_beta[search_spend],0.171,0.212,0.0,0.509,0.007,0.005,999.904,1003.389,1.001
saturation_beta[radio_spend],0.039,0.076,0.0,0.109,0.002,0.001,1287.222,1135.498,1.0
saturation_lam[tv_spend],2.132,1.648,0.06,5.062,0.034,0.026,1839.769,1185.689,1.001
saturation_lam[digital_spend],2.345,1.659,0.102,5.335,0.034,0.025,2020.458,887.202,1.001
saturation_lam[social_spend],2.894,1.996,0.067,6.423,0.044,0.031,1468.932,1027.808,1.0
saturation_lam[search_spend],2.181,1.517,0.136,4.847,0.033,0.023,1667.469,1101.529,1.001
saturation_lam[radio_spend],2.258,1.695,0.053,5.333,0.036,0.028,1919.53,1102.559,1.0
y_sigma,0.038,0.003,0.033,0.043,0.0,0.0,2310.438,1437.799,1.002
"channel_contribution[2022-01-02T00:00:00.000000000, tv_spend]",0.012,0.008,0.0,0.026,0.0,0.0,1520.655,1166.085,1.002
"channel_contribution[2022-01-02T00:00:00.000000000, digital_spend]",0.008,0.007,0.0,0.018,0.0,0.0,1448.71,866.171,1.0
"channel_contribution[2022-01-02T00:00:00.000000000, social_spend]",0.009,0.008,0.0,0.021,0.0,0.0,901.531,846.199,1.002
"channel_contribution[2022-01-02T00:00:00.000000000, search_spend]",0.009,0.005,0.0,0.016,0.0,0.0,1542.454,999.079,1.0
"channel_contribution[2022-01-02T00:00:00.000000000, radio_spend]",0.003,0.003,0.0,0.008,0.0,0.0,1632.501,1146.097,1.0
